"Product SKU","Product UPC/EAN","Stock Level","Product Width","Product Height","Product Depth","Free Shipping","Fixed Shipping Cost"
20501787,642628014559,0,0.0000,0.0000,0.0000,N,0.0000
20501784,642628014528,0,0.0000,0.0000,0.0000,N,0.0000
20501780,642628017963,0,0.0000,0.0000,0.0000,N,0.0000
20501776,642628007018,0,0.0000,0.0000,0.0000,N,0.0000
20501755,10642628035025,0,0.0000,0.0000,0.0000,N,0.0000
20501770,642628035127,0,0.0000,0.0000,0.0000,N,0.0000
20501771,642628035165,0,0.0000,0.0000,0.0000,N,0.0000
20501766,642628006728,0,0.0000,0.0000,0.0000,N,0.0000
20501752,642628035018,0,0.0000,0.0000,0.0000,N,0.0000
20501728,642628103567,0,0.0000,0.0000,0.0000,N,0.0000
20501726,642628103533,0,0.0000,0.0000,0.0000,N,0.0000
20501724,642628103519,0,0.0000,0.0000,0.0000,N,0.0000
20501723,642628103598,0,0.0000,0.0000,0.0000,N,0.0000
20501722,642628103529,0,0.0000,0.0000,0.0000,N,0.0000
20501720,642628017925,0,0.0000,0.0000,0.0000,N,0.0000
20501721,642628017956,0,0.0000,0.0000,0.0000,N,0.0000
20501702,642628035196,0,0.0000,0.0000,0.0000,N,0.0000
20617973,642628017949,0,0.0000,0.0000,0.0000,N,0.0000
60470,647854604703,0,0.0000,0.0000,0.0000,N,0.0000
4770,,0,0.0000,0.0000,0.0000,N,0.0000
4670,,0,0.0000,0.0000,0.0000,N,0.0000
4653,,0,0.0000,0.0000,0.0000,N,0.0000
4600,,0,0.0000,0.0000,0.0000,N,0.0000
1248634,,0,0.0000,0.0000,0.0000,N,0.0000
1248534,,0,0.0000,0.0000,0.0000,N,0.0000
1248524,,0,0.0000,0.0000,0.0000,N,0.0000
1248384,,0,0.0000,0.0000,0.0000,N,0.0000
1248344,,0,0.0000,0.0000,0.0000,N,0.0000
1078724,,0,0.0000,0.0000,0.0000,N,0.0000
SSC-LCFR,079975256330,0,0.0000,0.0000,0.0000,N,0.0000
SSC-LCORI,079975256309,0,0.0000,0.0000,0.0000,N,0.0000
20501797,642628286055,0,0.0000,0.0000,0.0000,N,0.0000
20501795,642628286024,0,0.0000,0.0000,0.0000,N,0.0000
20501781,642628014501,0,0.0000,0.0000,0.0000,N,0.0000
20501767,642628006745,0,0.0000,0.0000,0.0000,N,0.0000
20501765,642628035066,0,0.0000,0.0000,0.0000,N,0.0000
S1012,,0,0.0000,0.0000,0.0000,N,0.0000
S1006,,0,0.0000,0.0000,0.0000,N,0.0000
1249304,,0,0.0000,0.0000,0.0000,N,0.0000
1248304,,0,0.0000,0.0000,0.0000,N,0.0000
4752,,0,0.0000,0.0000,0.0000,N,0.0000
20501709,642628036834,0,0.0000,0.0000,0.0000,N,0.0000
20501760,642628035158,0,0.0000,0.0000,0.0000,N,0.0000
20501757,642628035049,0,0.0000,0.0000,0.0000,N,0.0000
20501706,642628006783,0,0.0000,0.0000,0.0000,N,0.0000
20501763,642628035097,0,0.0000,0.0000,0.0000,N,0.0000
20501759,642628035080,0,0.0000,0.0000,0.0000,N,0.0000
20501790,642628035073,0,0.0000,0.0000,0.0000,N,0.0000
20501762,,0,0.0000,0.0000,0.0000,N,0.0000
20501713,642628008244,0,0.0000,0.0000,0.0000,N,0.0000
20501711,642628008206,0,0.0000,0.0000,0.0000,N,0.0000
20501712,642628008220,0,0.0000,0.0000,0.0000,N,0.0000
60467,647854604673,0,0.0000,0.0000,0.0000,N,0.0000
60472,647854604727,0,0.0000,0.0000,0.0000,N,0.0000
60469,647854604697,0,0.0000,0.0000,0.0000,N,0.0000
20627073,10642628015638,0,0.0000,0.0000,0.0000,N,0.0000
60468,647854604680,0,0.0000,0.0000,0.0000,N,0.0000
60471,647854604710,0,0.0000,0.0000,0.0000,N,0.0000
60456,647854604567,0,0.0000,0.0000,0.0000,N,0.0000
60458,647854604581,0,0.0000,0.0000,0.0000,N,0.0000
60459,647854604598,0,0.0000,0.0000,0.0000,N,0.0000
60460,647854604604,0,0.0000,0.0000,0.0000,N,0.0000
60462,647854604628,0,0.0000,0.0000,0.0000,N,0.0000
60476,647854604765,0,0.0000,0.0000,0.0000,N,0.0000
